Baseline_good_outcomes_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Percent_Thrombolysis_(median%),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),calibration,scenario,stroke_team
257.88,220.72,290.54,257.34,21.66,4.25,15.09,12.15,17.57,15.1,1.72,0.34,14.89,11.93,17.3,14.77,1.75,0.34,130.37,1.0,speed_benchmark,BXXZS5063A
247.93,197.93,330.58,255.87,40.91,8.02,14.05,9.88,19.83,14.6,3.39,0.66,12.43,8.75,17.75,13.1,3.27,0.64,146.91,1.0,speed_benchmark,CNBGF2713O
270.27,237.26,305.02,270.68,19.8,3.88,19.69,17.36,22.39,19.74,1.62,0.32,20.35,17.81,23.06,20.38,1.84,0.36,121.42,1.0,speed_benchmark,CQAAX8797Z
258.5,224.32,299.49,259.66,23.76,4.66,9.86,7.47,13.27,9.94,1.7,0.33,9.79,7.16,13.12,9.91,1.74,0.34,124.34,1.0,speed_benchmark,CYVHC2532V
258.39,232.3,283.35,257.52,15.87,3.11,16.27,14.16,18.14,16.28,1.25,0.25,15.31,13.06,16.97,15.23,1.23,0.24,140.08,1.0,speed_benchmark,DANAH4615Q
266.44,238.49,289.1,265.36,17.27,3.38,14.79,12.62,17.13,14.74,1.51,0.3,14.52,12.07,17.1,14.56,1.54,0.3,130.79,1.0,speed_benchmark,DLNBB9786K
262.7,240.19,281.35,262.15,13.63,2.67,14.45,12.79,16.7,14.56,1.18,0.23,13.47,11.99,15.68,13.72,1.17,0.23,139.26,1.0,speed_benchmark,DNOYM6465G
266.54,242.46,299.72,268.93,17.57,3.44,19.12,16.72,21.52,19.19,1.62,0.32,18.14,15.92,20.99,18.27,1.63,0.32,141.68,1.0,speed_benchmark,DQKFO8183I
263.74,242.05,287.72,264.41,14.27,2.8,10.99,9.01,12.63,10.96,1.1,0.22,10.59,8.67,12.33,10.53,1.12,0.22,136.88,1.0,speed_benchmark,DZJVD1372Z
263.58,240.93,287.55,264.03,13.92,2.73,18.28,16.55,20.67,18.34,1.24,0.24,18.3,16.05,20.59,18.33,1.36,0.27,128.26,1.0,speed_benchmark,EQPWM6065O
243.57,217.78,268.08,244.95,15.54,3.04,17.4,15.1,19.67,17.44,1.46,0.29,16.13,13.51,18.41,16.02,1.53,0.3,137.06,1.0,speed_benchmark,EQZZZ5658G
272.68,257.92,292.3,273.63,10.27,2.01,14.17,12.89,15.4,14.19,0.77,0.15,13.28,11.93,14.46,13.32,0.77,0.15,146.45,1.0,speed_benchmark,FAJKD7118X
248.64,219.51,270.42,246.44,17.25,3.38,13.43,10.88,15.79,13.28,1.43,0.28,12.15,9.7,14.12,12.03,1.31,0.26,141.29,1.0,speed_benchmark,FCCJC8768V
270.57,241.9,295.51,269.78,16.88,3.31,17.08,15.45,19.33,17.15,1.21,0.24,16.61,14.7,19.26,16.76,1.32,0.26,134.91,1.0,speed_benchmark,FLVXS2956M
265.54,247.71,288.73,267.27,13.78,2.7,21.03,19.43,22.98,21.15,1.15,0.22,20.57,18.82,22.51,20.66,1.23,0.24,134.29,1.0,speed_benchmark,FPTBM7594G
238.83,201.12,273.74,237.96,21.16,4.15,13.55,11.45,16.79,13.77,1.65,0.32,12.43,10.33,15.51,12.55,1.66,0.32,134.09,1.0,speed_benchmark,FWHZZ0143J
256.02,216.41,280.09,252.08,22.32,4.38,15.21,12.46,17.51,15.06,1.63,0.32,14.71,11.51,17.52,14.58,1.84,0.36,128.88,1.0,speed_benchmark,FYFMU3598G
270.59,246.91,294.26,272.07,14.77,2.89,17.21,14.26,19.71,17.13,1.62,0.32,16.52,14.03,19.33,16.7,1.66,0.33,136.3,1.0,speed_benchmark,GKONI0110I
263.25,238.49,285.72,263.64,14.93,2.93,16.14,13.85,18.31,16.1,1.34,0.26,15.85,13.03,17.91,15.77,1.44,0.28,132.98,1.0,speed_benchmark,GLRVJ5773V
270.22,245.1,292.03,270.2,15.33,3.0,11.27,9.55,13.25,11.28,1.11,0.22,11.12,9.21,12.87,11.09,1.15,0.23,136.17,1.0,speed_benchmark,GRCGI3873D
257.53,230.77,284.28,257.31,16.88,3.31,14.72,12.2,16.89,14.72,1.46,0.29,14.27,12.42,16.96,14.49,1.52,0.3,127.7,1.0,speed_benchmark,GWOXR9160G
261.1,232.5,289.79,260.66,19.49,3.82,18.47,16.15,21.32,18.61,1.57,0.31,17.53,15.1,20.27,17.55,1.61,0.32,140.0,1.0,speed_benchmark,HBFCN1575G
261.12,228.83,289.95,261.09,18.36,3.6,13.51,11.36,15.82,13.53,1.49,0.29,13.37,11.23,16.13,13.51,1.58,0.31,125.68,1.0,speed_benchmark,HGGNH9018F
257.67,223.93,291.87,257.24,22.69,4.45,15.03,11.96,18.73,15.06,2.04,0.4,14.82,11.46,18.37,14.81,2.04,0.4,127.87,1.0,speed_benchmark,HONZP0443O
271.23,226.18,320.75,272.5,30.05,5.89,14.86,10.83,19.34,14.88,2.53,0.5,15.2,10.86,20.56,15.14,2.82,0.55,127.97,1.0,speed_benchmark,HPWIF9956L
260.92,230.84,285.89,260.45,16.45,3.22,24.53,21.72,27.23,24.55,1.67,0.33,24.37,21.53,27.32,24.32,1.61,0.32,126.29,1.0,speed_benchmark,HREGJ0143U
277.65,249.29,315.65,279.93,20.08,3.94,10.82,8.94,13.88,11.15,1.48,0.29,10.59,8.82,13.52,10.93,1.51,0.3,136.74,1.0,speed_benchmark,HYCCK3082L
252.8,232.88,276.59,253.89,14.37,2.82,14.82,12.81,16.71,14.84,1.34,0.26,13.65,11.24,15.84,13.67,1.36,0.27,141.32,1.0,speed_benchmark,HYNBH3271L
244.27,209.73,294.08,249.08,26.95,5.28,9.73,7.23,13.0,9.8,1.76,0.34,9.68,6.91,13.22,9.82,1.84,0.36,122.18,1.0,speed_benchmark,HZMLX7970T
260.0,222.22,291.22,258.33,22.09,4.33,15.33,12.88,18.67,15.54,1.72,0.34,14.78,12.13,17.12,14.89,1.69,0.33,135.93,1.0,speed_benchmark,HZNVT9936G
255.53,223.46,287.47,254.96,21.18,4.15,16.22,13.01,18.45,16.01,1.67,0.33,15.29,12.42,17.67,15.17,1.66,0.33,133.82,1.0,speed_benchmark,IATJE0497S
251.84,218.66,286.86,252.35,20.65,4.05,16.54,13.97,19.51,16.67,1.74,0.34,15.8,13.2,18.83,15.85,1.82,0.36,131.73,1.0,speed_benchmark,IAZKG9244A
245.0,222.44,275.19,245.88,16.14,3.16,16.25,13.87,18.51,16.2,1.41,0.28,14.89,12.76,17.05,14.8,1.37,0.27,139.24,1.0,speed_benchmark,IDHVL2894N
239.8,215.9,267.01,239.63,15.97,3.13,15.48,12.76,17.7,15.44,1.52,0.3,14.13,11.83,16.11,14.04,1.41,0.28,136.94,1.0,speed_benchmark,ISIZF6614O
269.53,214.84,304.88,265.51,28.12,5.51,7.81,5.06,10.16,7.68,1.66,0.33,9.21,5.72,12.39,9.18,2.09,0.41,81.87,1.0,speed_benchmark,ISXKM9668U
267.55,233.3,292.31,263.95,17.92,3.51,16.32,13.84,18.8,16.28,1.51,0.3,16.38,13.34,18.67,16.11,1.66,0.32,130.66,1.0,speed_benchmark,ITFRR7678Y
260.15,225.89,292.01,260.05,20.6,4.04,12.18,9.38,14.99,12.15,1.61,0.32,11.65,8.72,13.97,11.63,1.62,0.32,137.49,1.0,speed_benchmark,IUMNL9626U
244.24,207.37,304.15,246.73,27.03,5.3,13.82,10.14,16.61,13.43,2.18,0.43,13.44,9.61,16.84,13.28,2.28,0.45,124.35,1.0,speed_benchmark,IWINL6248B
233.47,203.94,255.98,233.98,16.73,3.28,20.25,17.86,22.37,20.13,1.49,0.29,18.31,15.9,20.53,18.27,1.51,0.3,132.86,1.0,speed_benchmark,IYJHY1440E
269.55,245.43,303.25,269.93,17.06,3.34,15.4,13.35,17.57,15.52,1.34,0.26,15.27,12.83,17.54,15.26,1.45,0.28,134.63,1.0,speed_benchmark,JADBS8258F
262.99,236.9,287.06,262.0,15.23,2.98,15.02,13.51,16.85,15.17,1.06,0.21,14.25,12.47,16.26,14.3,1.09,0.21,139.14,1.0,speed_benchmark,JHDQL1362V
256.82,238.21,273.82,256.16,10.75,2.11,16.17,14.64,17.95,16.21,1.01,0.2,15.43,13.73,17.07,15.49,1.09,0.21,134.58,1.0,speed_benchmark,JINXD0311F
270.0,236.5,310.0,274.0,23.28,4.56,16.5,12.93,19.35,16.23,2.19,0.43,16.92,12.76,20.31,16.73,2.38,0.47,125.84,1.0,speed_benchmark,JRXDG8181O
257.43,178.22,336.63,257.52,43.43,8.51,12.87,8.86,17.82,12.78,3.02,0.59,12.44,8.23,18.86,12.91,3.2,0.63,125.97,1.0,speed_benchmark,JXJYG0100P
244.37,218.57,271.78,244.63,16.64,3.26,20.26,17.52,22.99,20.22,1.65,0.32,18.5,15.97,21.01,18.46,1.54,0.3,136.69,1.0,speed_benchmark,KECZG3964M
276.08,251.74,300.47,276.24,15.72,3.08,13.59,12.12,15.4,13.65,1.02,0.2,13.52,11.58,15.45,13.6,1.07,0.21,134.64,1.0,speed_benchmark,KZKEZ2257Z
234.78,208.48,265.33,234.54,18.33,3.59,15.87,13.47,19.14,16.02,1.68,0.33,14.49,12.42,17.2,14.67,1.63,0.32,128.85,1.0,speed_benchmark,LECHF1024T
247.26,223.19,275.82,247.37,17.04,3.34,5.91,4.16,7.45,5.8,1.06,0.21,5.38,3.78,7.19,5.43,1.07,0.21,135.56,1.0,speed_benchmark,LFPMM4706C
253.33,209.83,290.33,253.33,25.44,4.99,15.0,11.67,18.0,14.78,1.94,0.38,14.16,11.11,16.93,14.18,1.92,0.38,131.01,1.0,speed_benchmark,LFZMO6561M
252.12,226.48,292.37,254.22,20.32,3.98,16.1,13.35,19.07,16.23,1.88,0.37,16.2,12.6,19.36,16.11,2.05,0.4,126.0,1.0,speed_benchmark,LGNPK4211W
259.15,225.07,295.77,260.14,22.5,4.41,15.77,12.39,19.44,15.81,2.12,0.42,15.8,12.12,19.99,15.79,2.35,0.46,126.13,1.0,speed_benchmark,LLPWF6176Z
257.95,233.13,284.54,256.98,16.94,3.32,14.84,13.24,17.5,14.99,1.39,0.27,13.64,11.92,16.23,13.8,1.44,0.28,142.33,1.0,speed_benchmark,LUVFZ2751A
221.52,181.22,265.82,223.59,27.53,5.4,11.39,8.42,15.21,11.35,2.02,0.4,10.05,7.15,13.74,10.38,2.03,0.4,125.53,1.0,speed_benchmark,LZAYM7611L
252.62,229.26,271.27,251.94,12.66,2.48,15.41,13.61,17.33,15.47,1.12,0.22,14.36,12.5,15.9,14.27,1.15,0.22,138.23,1.0,speed_benchmark,LZGVG8257A
268.93,244.13,296.91,268.21,16.77,3.29,23.11,20.09,25.66,23.12,1.67,0.33,23.21,20.56,25.91,23.22,1.74,0.34,128.23,1.0,speed_benchmark,MHMYL4920B
242.72,206.8,288.19,242.94,24.07,4.72,15.86,12.3,19.74,16.19,2.24,0.44,15.45,12.0,18.74,15.4,2.2,0.43,127.35,1.0,speed_benchmark,NFBUF0424E
252.26,224.23,285.71,253.4,18.7,3.67,16.46,13.19,18.82,16.22,1.64,0.32,14.92,12.34,17.26,14.97,1.6,0.31,138.36,1.0,speed_benchmark,NGKDE7265L
251.96,223.79,278.64,251.0,17.36,3.4,15.34,13.29,17.07,15.37,1.2,0.23,14.9,12.61,16.52,14.79,1.21,0.24,128.21,1.0,speed_benchmark,NTPQZ0829K
262.14,231.31,286.41,261.38,17.23,3.38,16.18,13.75,18.77,16.25,1.55,0.3,15.52,12.92,18.21,15.56,1.66,0.33,134.02,1.0,speed_benchmark,NZECY6641V
265.72,243.71,295.68,267.2,16.63,3.26,14.47,12.09,16.67,14.36,1.31,0.26,14.0,11.37,16.19,13.9,1.39,0.27,136.51,1.0,speed_benchmark,NZNML2841Q
246.97,228.15,266.64,245.83,13.99,2.74,13.98,12.4,15.58,13.92,1.07,0.21,12.59,11.03,14.51,12.65,1.08,0.21,138.5,1.0,speed_benchmark,OFKDF3720W
259.44,231.28,289.08,259.23,17.76,3.48,11.33,9.2,13.14,11.28,1.3,0.26,11.31,9.34,13.58,11.35,1.39,0.27,123.43,1.0,speed_benchmark,OHGIK1804X
275.83,247.23,306.27,275.7,17.75,3.48,13.01,10.89,15.88,13.09,1.52,0.3,13.62,11.29,16.84,13.77,1.64,0.32,121.86,1.0,speed_benchmark,OKVRY7006H
263.54,229.24,299.64,263.99,20.84,4.08,21.03,17.68,23.29,20.92,1.66,0.33,19.75,16.91,21.83,19.51,1.64,0.32,146.06,1.0,speed_benchmark,OQYTM8444L
257.46,212.31,291.04,254.07,24.51,4.8,20.15,16.01,24.27,20.25,2.55,0.5,18.39,14.06,22.23,18.44,2.49,0.49,144.05,1.0,speed_benchmark,OUXUZ1084Q
256.56,227.26,281.56,253.79,16.78,3.29,16.03,13.99,18.53,16.06,1.43,0.28,15.31,13.22,17.63,15.28,1.44,0.28,133.49,1.0,speed_benchmark,OYASQ1316D
261.45,232.82,290.17,260.71,17.44,3.42,14.89,12.77,16.98,14.95,1.38,0.27,14.69,12.37,17.21,14.73,1.44,0.28,129.75,1.0,speed_benchmark,PAOUI8935Z
246.89,214.83,277.18,247.35,19.55,3.83,18.12,15.81,20.44,18.06,1.59,0.31,16.25,14.1,18.38,16.15,1.5,0.29,144.55,1.0,speed_benchmark,PAYNN3649Z
263.16,236.03,287.52,263.54,16.71,3.28,9.78,7.96,11.75,9.7,1.2,0.23,9.33,7.25,10.97,9.2,1.14,0.22,137.27,1.0,speed_benchmark,PDNWI2057P
252.6,224.22,276.3,252.06,15.18,2.97,16.53,14.34,18.5,16.51,1.27,0.25,15.94,13.46,18.03,15.94,1.29,0.25,129.35,1.0,speed_benchmark,PSNKC7508G
273.25,246.33,298.53,273.1,16.65,3.26,10.93,9.13,12.9,10.89,1.12,0.22,10.85,9.19,13.42,11.0,1.19,0.23,131.16,1.0,speed_benchmark,QNARI2373R
279.54,252.86,303.68,279.12,15.02,2.94,18.81,16.26,20.84,18.64,1.42,0.28,18.69,15.89,21.19,18.66,1.57,0.31,135.32,1.0,speed_benchmark,QOAPO4699N
252.98,217.06,289.02,252.7,22.47,4.4,17.66,13.84,20.06,17.33,1.98,0.39,16.61,12.96,19.35,16.54,2.02,0.4,130.45,1.0,speed_benchmark,QOGNY5824N
240.74,206.22,277.91,241.03,23.21,4.55,19.84,16.67,23.29,20.08,2.1,0.41,17.76,14.6,20.93,17.77,1.92,0.38,142.7,1.0,speed_benchmark,QQUVD2066Z
264.52,232.26,303.39,267.35,23.55,4.61,15.97,12.58,19.68,16.02,2.13,0.42,16.14,12.24,20.18,15.96,2.21,0.43,131.79,1.0,speed_benchmark,QTELJ8888W
266.6,248.49,284.96,267.27,12.95,2.54,13.78,12.06,15.69,13.78,1.08,0.21,13.53,11.9,15.73,13.6,1.17,0.23,132.6,1.0,speed_benchmark,QWKRA8499D
257.62,224.38,290.86,257.29,20.91,4.1,11.22,8.86,14.16,11.32,1.68,0.33,10.68,8.35,13.74,10.91,1.79,0.35,132.49,1.0,speed_benchmark,QZMCK3259S
249.46,222.11,276.69,249.52,18.08,3.54,16.23,13.49,19.17,16.2,1.76,0.35,15.91,12.88,19.21,15.95,1.88,0.37,124.76,1.0,speed_benchmark,RDVPJ0375X
247.26,219.01,273.87,246.03,16.28,3.19,19.41,16.9,21.6,19.3,1.47,0.29,18.08,15.73,20.29,18.09,1.42,0.28,132.89,1.0,speed_benchmark,REVJR6326T
243.54,219.56,276.75,246.27,18.87,3.7,23.15,19.91,25.65,22.98,1.86,0.36,21.69,18.64,24.46,21.63,1.81,0.36,131.73,1.0,speed_benchmark,RGJWU8840Q
254.78,230.86,277.57,255.32,14.23,2.79,16.15,14.0,18.19,16.12,1.3,0.25,15.58,13.78,17.89,15.7,1.32,0.26,128.91,1.0,speed_benchmark,ROOIZ9592Y
243.24,211.71,274.89,243.58,20.1,3.94,16.22,13.74,20.06,16.6,1.84,0.36,15.5,13.02,18.81,15.88,1.84,0.36,127.81,1.0,speed_benchmark,SBRDX1922J
278.42,242.09,306.43,276.13,18.75,3.67,13.34,11.36,15.33,13.36,1.21,0.24,13.67,11.52,15.46,13.54,1.23,0.24,129.78,1.0,speed_benchmark,SBYTE4026H
253.56,226.2,282.02,254.24,15.53,3.04,15.52,13.45,17.6,15.4,1.24,0.24,14.22,12.39,15.99,14.22,1.15,0.23,138.24,1.0,speed_benchmark,SJVFI6669M
283.14,261.26,309.01,283.58,14.95,2.93,11.84,9.9,14.03,11.89,1.28,0.25,12.16,10.39,14.4,12.24,1.35,0.27,131.93,1.0,speed_benchmark,SMVTP6284P
270.45,224.89,298.07,268.14,22.76,4.46,14.09,10.9,17.06,14.04,1.89,0.37,14.42,11.04,17.68,14.4,1.99,0.39,125.87,1.0,speed_benchmark,SQGXB9559U
264.9,211.92,317.88,260.6,32.63,6.39,17.22,12.52,21.85,17.28,3.12,0.61,16.01,12.4,20.95,16.37,2.86,0.56,136.1,1.0,speed_benchmark,TBZOA3799I
281.13,250.78,311.48,281.6,18.59,3.64,16.93,14.19,18.87,16.84,1.5,0.29,17.53,14.61,20.23,17.56,1.78,0.35,126.99,1.0,speed_benchmark,TFSJP6914B
242.83,214.15,263.96,241.7,15.03,2.95,12.62,10.12,15.11,12.53,1.51,0.3,12.01,9.28,14.04,11.82,1.53,0.3,129.59,1.0,speed_benchmark,TKRKH4920C
255.32,223.27,290.03,254.55,21.52,4.22,18.09,15.15,21.29,18.15,1.88,0.37,17.57,14.05,20.22,17.43,1.89,0.37,129.67,1.0,speed_benchmark,TMQMS4307W
255.07,211.45,292.75,254.12,23.58,4.62,17.54,14.19,20.3,17.45,2.03,0.4,16.49,12.93,19.66,16.45,2.12,0.42,139.2,1.0,speed_benchmark,TPFFP4410O
278.07,243.86,310.61,278.49,19.26,3.78,11.58,9.11,13.34,11.58,1.31,0.26,12.0,9.12,13.88,11.86,1.46,0.29,128.7,1.0,speed_benchmark,TPXYE0168D
269.88,241.5,284.39,266.85,13.95,2.73,17.4,15.29,19.1,17.34,1.17,0.23,17.28,15.15,19.0,17.12,1.18,0.23,132.43,1.0,speed_benchmark,TQQYU0036V
236.91,198.35,267.36,237.6,22.51,4.41,14.05,11.02,17.08,14.19,1.87,0.37,12.53,9.72,15.4,12.66,1.84,0.36,139.66,1.0,speed_benchmark,TXHRP7672C
243.05,218.28,266.42,242.82,16.16,3.17,13.44,11.77,15.63,13.53,1.18,0.23,12.2,10.43,14.43,12.33,1.22,0.24,139.31,1.0,speed_benchmark,TXYJJ1019H
261.4,241.38,279.31,261.81,12.83,2.52,17.69,15.46,19.81,17.7,1.27,0.25,17.47,15.27,19.5,17.39,1.43,0.28,130.83,1.0,speed_benchmark,UALFR2142B
251.66,223.77,276.95,251.72,16.52,3.24,12.58,10.99,14.84,12.7,1.22,0.24,12.44,10.49,14.34,12.41,1.22,0.24,126.92,1.0,speed_benchmark,UIWEN7236N
256.93,232.53,288.63,258.24,18.0,3.53,15.71,13.67,18.67,15.8,1.45,0.28,15.2,12.96,17.65,15.15,1.4,0.27,134.87,1.0,speed_benchmark,UJETD9177J
276.32,221.62,330.83,276.32,30.1,5.9,16.54,12.41,19.94,16.63,2.25,0.44,16.9,13.28,20.9,17.1,2.26,0.44,128.67,1.0,speed_benchmark,UMYTD3128E
237.89,204.63,266.74,236.81,20.04,3.93,14.76,12.32,17.62,14.73,1.61,0.32,13.48,10.8,16.06,13.5,1.61,0.32,130.92,1.0,speed_benchmark,UWCEW6851O
259.51,230.04,292.78,259.87,18.94,3.71,15.02,13.31,16.93,15.11,1.32,0.26,14.6,12.46,16.63,14.64,1.4,0.27,133.47,1.0,speed_benchmark,VKHPY9501A
262.87,238.05,281.34,261.85,13.64,2.67,9.47,8.17,10.85,9.46,0.85,0.17,8.94,7.5,10.39,8.89,0.88,0.17,139.68,1.0,speed_benchmark,VKKDD9172T
247.06,221.76,263.95,245.21,15.16,2.97,15.13,12.1,17.82,15.03,1.67,0.33,14.17,11.59,16.75,14.27,1.68,0.33,128.61,1.0,speed_benchmark,VUHVS8909F
284.92,234.64,346.37,287.21,34.14,6.69,7.82,5.03,10.61,7.69,1.8,0.35,8.17,5.22,11.77,8.19,1.94,0.38,125.11,1.0,speed_benchmark,VVDIY0129H
241.04,213.05,273.01,241.71,18.68,3.66,16.33,13.93,19.33,16.54,1.57,0.31,15.44,12.82,18.16,15.47,1.58,0.31,131.29,1.0,speed_benchmark,VZOCK3505U
262.9,223.46,294.96,261.18,23.96,4.7,15.48,12.29,18.67,15.3,1.89,0.37,15.28,12.31,18.24,15.12,1.89,0.37,128.81,1.0,speed_benchmark,VZZSN1825O
250.7,216.99,281.48,251.81,21.84,4.28,14.9,12.53,17.56,14.97,1.75,0.34,14.39,11.9,17.69,14.57,1.86,0.36,126.17,1.0,speed_benchmark,WJHSV5358P
250.84,225.67,284.53,252.29,19.36,3.79,17.73,15.2,20.24,17.78,1.6,0.31,16.66,14.28,19.83,16.8,1.64,0.32,136.51,1.0,speed_benchmark,WKDIW7014B
238.28,187.5,281.64,237.5,34.12,6.69,14.06,8.55,18.75,13.54,2.89,0.57,12.9,8.03,17.43,12.69,2.84,0.56,128.81,1.0,speed_benchmark,WSFVN0229E
246.23,206.03,306.53,252.76,30.46,5.97,13.57,9.55,17.59,13.4,2.37,0.46,12.69,9.32,16.02,12.61,2.3,0.45,135.35,1.0,speed_benchmark,WSNTP4114A
253.48,231.29,280.72,254.06,15.91,3.12,15.87,13.65,17.95,15.84,1.26,0.25,15.18,13.38,17.27,15.24,1.23,0.24,131.83,1.0,speed_benchmark,WTBXP2683L
256.11,233.74,277.36,254.5,14.03,2.75,17.0,15.51,18.83,17.11,1.21,0.24,16.42,14.54,18.61,16.49,1.24,0.24,130.8,1.0,speed_benchmark,XDAFB7350M
255.01,229.42,284.24,255.97,18.38,3.6,14.39,12.39,16.95,14.42,1.32,0.26,13.86,11.72,16.03,13.94,1.38,0.27,130.12,1.0,speed_benchmark,XDFKW2704K
278.85,243.43,320.83,280.06,24.71,4.84,16.03,12.5,19.9,16.34,2.34,0.46,16.5,12.76,20.48,16.68,2.49,0.49,130.3,1.0,speed_benchmark,XIGJJ1201J
256.98,232.17,279.25,255.76,14.44,2.83,14.97,12.82,17.14,14.98,1.4,0.27,14.86,12.74,17.38,14.84,1.45,0.28,124.87,1.0,speed_benchmark,XKAWN3771U
230.37,182.98,267.02,228.12,26.77,5.25,14.4,10.99,18.32,14.31,2.57,0.5,12.02,8.76,16.24,12.3,2.39,0.47,142.43,1.0,speed_benchmark,XPABC1435F
231.68,196.12,265.09,230.73,19.74,3.87,14.22,11.64,17.9,14.46,1.97,0.39,12.87,10.0,15.95,12.95,1.85,0.36,134.31,1.0,speed_benchmark,XQAGA4299B
271.05,245.92,298.47,271.02,15.75,3.09,17.16,14.66,19.26,17.1,1.28,0.25,16.69,14.15,18.79,16.63,1.39,0.27,137.7,1.0,speed_benchmark,XWUBX0795L
250.0,199.58,308.75,252.08,37.44,7.34,14.17,8.33,19.21,13.95,3.31,0.65,13.15,8.7,18.7,13.4,3.26,0.64,131.99,1.0,speed_benchmark,YEXCH8391J
280.0,243.6,316.2,280.4,22.95,4.5,17.2,13.98,21.62,17.65,2.46,0.48,18.31,14.38,23.47,18.67,2.62,0.51,122.66,1.0,speed_benchmark,YPKYH1768F
240.22,198.32,271.51,237.74,22.85,4.48,13.97,10.61,16.22,13.78,1.71,0.33,12.15,9.51,15.38,12.25,1.65,0.32,139.99,1.0,speed_benchmark,YQMZV4284N
253.9,224.72,285.08,252.74,18.68,3.66,13.25,10.69,16.27,13.14,1.73,0.34,12.53,10.03,15.65,12.52,1.72,0.34,132.58,1.0,speed_benchmark,ZBVSO0975W
243.72,213.51,272.61,242.34,16.78,3.29,13.82,11.81,15.46,13.74,1.09,0.21,12.68,10.87,14.35,12.66,1.11,0.22,135.57,1.0,speed_benchmark,ZHCLE1578P
247.91,222.78,273.12,248.44,15.72,3.08,12.48,10.38,14.07,12.43,1.19,0.23,11.59,9.55,13.11,11.44,1.16,0.23,137.87,1.0,speed_benchmark,ZRRCV7012C
255.59,226.38,281.97,255.69,16.65,3.26,24.29,21.76,26.83,24.33,1.6,0.31,20.42,17.69,22.83,20.5,1.61,0.32,162.09,1.0,onset_benchmark,AGNOF1041H
264.22,245.8,281.71,264.14,12.26,2.4,14.44,12.68,16.2,14.39,1.12,0.22,12.89,11.1,14.62,12.8,1.08,0.21,153.45,1.0,onset_benchmark,AKCGO9726K
242.0,211.8,272.0,242.64,18.67,3.66,14.4,12.19,17.01,14.44,1.53,0.3,10.45,8.77,12.56,10.51,1.29,0.25,183.4,1.0,onset_benchmark,AOBTM3098N
230.07,202.73,264.69,233.6,20.57,4.03,13.44,11.39,16.18,13.61,1.47,0.29,9.83,8.32,11.76,9.85,1.19,0.23,181.14,1.0,onset_benchmark,APXEE8191H
232.73,196.36,276.55,233.53,24.91,4.88,13.45,10.55,16.38,13.41,1.84,0.36,9.13,6.95,11.8,9.25,1.52,0.3,188.75,1.0,onset_benchmark,ATDID5461S
260.27,227.85,319.63,266.71,28.73,5.63,10.05,6.85,14.61,10.32,2.27,0.45,7.63,4.74,10.78,7.74,1.83,0.36,190.86,1.0,onset_benchmark,BBXPQ0212O
246.03,214.19,271.83,245.91,18.97,3.72,21.73,19.22,24.6,21.7,1.7,0.33,17.85,15.21,19.99,17.72,1.55,0.3,161.26,1.0,onset_benchmark,BICAW1125K
273.02,235.44,308.46,271.01,24.01,4.71,21.63,18.83,24.86,21.57,1.91,0.37,18.14,15.92,21.57,18.38,1.79,0.35,167.31,1.0,onset_benchmark,BQZGT7491V
254.5,231.98,286.26,256.53,17.59,3.45,14.41,12.15,17.36,14.55,1.7,0.33,11.61,9.69,14.46,11.83,1.47,0.29,169.75,1.0,onset_benchmark,BXXZS5063A
256.2,197.93,338.84,256.61,43.88,8.6,15.29,9.92,19.88,15.14,3.3,0.65,12.16,7.61,16.92,12.24,2.81,0.55,169.84,1.0,onset_benchmark,CNBGF2713O
264.48,235.52,299.23,266.29,19.92,3.9,19.88,16.98,22.6,19.79,1.7,0.33,16.4,13.85,19.15,16.31,1.55,0.3,170.87,1.0,onset_benchmark,CQAAX8797Z
253.4,210.88,295.92,254.46,25.55,5.01,11.56,8.83,13.96,11.44,1.64,0.32,7.5,5.23,9.56,7.43,1.26,0.25,208.74,1.0,onset_benchmark,CYVHC2532V
260.87,234.72,288.2,261.73,16.27,3.19,15.84,13.66,18.01,15.78,1.38,0.27,12.58,10.77,14.29,12.59,1.2,0.23,173.52,1.0,onset_benchmark,DANAH4615Q
268.17,237.02,299.48,267.4,18.26,3.58,20.59,18.49,24.4,20.93,1.83,0.36,17.73,15.2,21.08,17.96,1.78,0.35,161.8,1.0,onset_benchmark,DLNBB9786K
262.21,236.18,281.3,261.26,13.33,2.61,24.56,22.75,26.38,24.55,1.19,0.23,20.95,19.14,22.75,20.89,1.17,0.23,160.9,1.0,onset_benchmark,DNOYM6465G
